RuleName,TargetVal,Actual
The number of Null emails from ds.AspNetUser,37906,37906
The number of null phone numbers from ds.AspNetUser,37906,55
All Banking Details Must Link to a UserID,27680,27680
Every Company Certificate Must Link to a Company Profile,19994,19994
The system must allow Proof of banking to be attached if the banking details have changed.,27680,27680
All Banking Details Must Link to a UserID ds.tblBankingDetails,27680,27680
Company Details Must Link To a Profile,29769,29769
Banking Particulars Must Be Complete (AccountName) from ds.tblBankingDetails,27680,27572
Banking Particulars Must Be Complete (BankName) from ds.tblBankingDetails,27680,0
Banking Particulars Must Be Complete (BranchCode) from ds.tblBankingDetails,27680,402
Banking Particulars Must Be Complete (BranchName) from ds.tblBankingDetails,27680,0
Company Name Must Be Populated,29769,29757
Company Registration Number Must Be Populated,29769,23793
Company Technical Manager Must Be Populated,29769,0
